# Level 1: familiar fruit and everyday observation
Which long, curved fruit usually turns yellow when ripe?~Quel fruit long et courbé devient généralement jaune en mûrissant ?~Anong mahaba at kurbadong prutas ang karaniwang dumidilaw kapag hinog?|banana,apple,grape,pear
Which fruit has a crown of pointed leaves?~Quel fruit porte une couronne de feuilles pointues ?~Anong prutas ang may koronang matutulis na dahon?|pineapple,lemon,plum,kiwi
Which large fruit often has red flesh and a green rind?~Quel gros fruit a souvent une chair rouge et une écorce verte ?~Anong malaking prutas ang madalas may pulang laman at berdeng balat?|watermelon,peach,coconut,pear
Which fruit grows in bunches on a grapevine?~Quel fruit pousse en grappes sur une vigne ?~Anong prutas ang tumutubo nang kumpol sa puno ng ubas?|grape,apple,lemon,cherry
Which fruit is traditionally used in a banana split?~Quel fruit utilise-t-on dans un banana split ?~Anong prutas ang ginagamit sa banana split?|banana,mango,pear,plum
Which fruit gives orange juice its name?~Quel fruit donne son nom au jus d'orange ?~Anong prutas ang ginagamit sa orange juice?|orange,apple,grape,kiwi
Which yellow citrus fruit is usually very sour?~Quel agrume jaune est généralement très acide ?~Anong dilaw na sitrus ang karaniwang napakaasim?|lemon,banana,peach,date
Which fruit has white flesh inside a hard brown shell?~Quel fruit contient une chair blanche dans une coque brune et dure ?~Anong prutas ang may puting laman sa loob ng matigas na kayumangging bao?|coconut,grape,plum,strawberry
Which fruit usually has brown fuzzy skin and green flesh with tiny black seeds?~Quel fruit a généralement une peau brune duveteuse et une chair verte à petits pépins noirs ?~Anong prutas ang karaniwang may mabalahibong kayumangging balat at berdeng laman na may maliliit na itim na buto?|kiwi,apple,orange,banana
Which red fruit has tiny seed-like dots on its outside?~Quel fruit rouge porte de petits points ressemblant à des graines à l'extérieur ?~Anong pulang prutas ang may maliliit na tuldok na parang buto sa labas?|strawberry,cherry,watermelon,plum
Which fruit is often shaped like a bell, with a narrow top and wider bottom?~Quel fruit a souvent une forme de cloche, étroite en haut et large en bas ?~Anong prutas ang madalas hugis-kampana, makitid sa itaas at malapad sa ibaba?|pear,grape,orange,coconut
Which fruit has fuzzy skin and a single large stone, unlike a smooth nectarine?~Quel fruit a une peau duveteuse et un gros noyau, contrairement à la nectarine lisse ?~Anong prutas ang may mabalahibong balat at malaking buto, di tulad ng makinis na nectarine?|peach,apple,lemon,banana
Which small red stone fruit often hangs from a slender stalk?~Quel petit fruit rouge à noyau pend souvent à une fine queue ?~Anong maliit at pulang prutas na may matigas na buto ang madalas nakabitin sa manipis na tangkay?|cherry,pineapple,pear,watermelon
Which tropical fruit often has orange flesh and many black seeds in its central cavity?~Quel fruit tropical a souvent une chair orange et de nombreuses graines noires dans sa cavité centrale ?~Anong tropikal na prutas ang madalas may kulay-kahel na laman at maraming itim na buto sa gitna?|papaya,coconut,banana,grape
Which fruit is the main ingredient of guacamole?~Quel fruit est l'ingrédient principal du guacamole ?~Anong prutas ang pangunahing sangkap ng guacamole?|avocado,apple,orange,peach
Which fruit is commonly dried to make raisins?~Quel fruit sèche-t-on pour obtenir des raisins secs ?~Anong prutas ang pinatutuyo para maging pasas?|grape,banana,lemon,coconut
What do we call a dried plum?~Comment appelle-t-on une prune séchée ?~Ano ang tawag sa pinatuyong plum sa Ingles?|prune,raisin,date,driedfig
Which taste best describes unsweetened lemon juice?~Quelle saveur décrit le mieux un jus de citron non sucré ?~Anong lasa ang pinakaangkop sa katas ng limon na walang asukal?|sour,salty,spicy,bitter
What is the outer covering of an apple called?~Comment appelle-t-on l'enveloppe extérieure d'une pomme ?~Ano ang tawag sa panlabas na takip ng mansanas?|skin,core,juice,seed
Which fruit is commonly pressed to make cider?~Quel fruit presse-t-on couramment pour faire du cidre ?~Anong prutas ang karaniwang pinipiga para gumawa ng cider?|apple,banana,coconut,lemon
Which fruit grows on a date palm?~Quel fruit pousse sur un palmier-dattier ?~Anong prutas ang tumutubo sa palma ng datiles?|date,fig,kiwi,plum
Which part of a peach contains its seed?~Quelle partie de la pêche renferme sa graine ?~Saang bahagi ng peach nakapaloob ang buto nito?|stone,leaf,petal,juice
