# Level 1: symbols, vocabulary and familiar figures
What jewel-covered headpiece traditionally symbolizes a king or queen?~Quel objet souvent orné de joyaux symbolise traditionnellement un roi ou une reine ?~Anong palamuti sa ulo na may mga hiyas ang tradisyonal na simbolo ng hari o reyna?|crown,helmet,cap,hat
What is a monarch's ceremonial seat called?~Comment appelle-t-on le siège cérémoniel d'un monarque ?~Ano ang tawag sa seremonyal na upuan ng monarka?|throne,saddle,desk,bench
What staff is a traditional symbol of royal authority?~Quel bâton est un symbole traditionnel de l'autorité royale ?~Anong tungkod ang tradisyonal na simbolo ng kapangyarihang maharlika?|sceptre,flute,compass,brush
What is the ceremony of placing a crown on a monarch called?~Comment appelle-t-on la cérémonie où l'on pose une couronne sur un monarque ?~Ano ang tawag sa seremonyang paglalagay ng korona sa monarka?|coronation,election,baptism,graduation
What do we call a state headed by a king or queen?~Comment appelle-t-on un État dont le chef est un roi ou une reine ?~Ano ang tawag sa estadong pinamumunuan ng hari o reyna?|monarchy,republic,federation,colony
What is a succession of rulers from the same family called?~Comment appelle-t-on une succession de souverains d'une même famille ?~Ano ang tawag sa sunod-sunod na pinunong mula sa iisang pamilya?|dynasty,guild,parliament,army
What do we call the person expected to inherit a throne?~Comment appelle-t-on la personne appelée à hériter du trône ?~Ano ang tawag sa taong inaasahang magmamana ng trono?|heir,ambassador,mayor,judge
What does a monarch do when they voluntarily give up the throne?~Comment appelle-t-on le renoncement volontaire d'un monarque au trône ?~Ano ang tawag sa kusang pag-iwan ng monarka sa trono?|abdication,annexation,coronation2,treaty
Who may govern on behalf of a king who is still a child?~Qui peut gouverner au nom d'un roi encore enfant ?~Sino ang maaaring mamahala para sa haring bata pa?|regent,knight,monk,merchant
Which French king was nicknamed the Sun King?~Quel roi de France était surnommé le Roi-Soleil ?~Sinong hari ng Pransiya ang tinawag na Haring Araw?|louis14,louis16,henri4,francis1
Which palace is especially associated with Louis XIV?~Quel palais est particulièrement associé à Louis XIV ?~Anong palasyo ang lalo nang nauugnay kay Louis XIV?|versailles,buckingham,alhambra,pena
In which city is Buckingham Palace?~Dans quelle ville se trouve Buckingham Palace ?~Saang lungsod matatagpuan ang Buckingham Palace?|london,paris,madrid,rome
Which queen gave her name to the Victorian era?~Quelle reine a donné son nom à l'époque victorienne ?~Sinong reyna ang pinagmulan ng pangalan ng Victorian era?|victoria,elizabeth1,anne,mary1
Which English king is famous for having six wives?~Quel roi d'Angleterre est célèbre pour ses six épouses ?~Sinong hari ng Inglatera ang kilala sa pagkakaroon ng anim na asawa?|henry8,richard1,george3,william1
Which country did Louis XVI rule?~Sur quel pays Louis XVI régnait-il ?~Anong bansa ang pinamunuan ni Louis XVI?|france,spain,sweden,portugal
Which queen reigned over the United Kingdom from 1952 to 2022?~Quelle reine a régné sur le Royaume-Uni de 1952 à 2022 ?~Sinong reyna ang naghari sa United Kingdom mula 1952 hanggang 2022?|elizabeth2,victoria,elizabeth1,anne
Which king is known as Richard the Lionheart?~Quel roi est connu sous le nom de Richard Cœur de Lion ?~Sinong hari ang kilala bilang Richard the Lionheart?|richard1,richard2,richard3,henry7
Which country did Gustav Vasa become king of in 1523?~De quel pays Gustave Vasa devint-il roi en 1523 ?~Saang bansa naging hari si Gustav Vasa noong 1523?|sweden,spain,portugal,belgium
Which country did Peter the Great rule?~Sur quel pays Pierre le Grand régnait-il ?~Anong bansa ang pinamunuan ni Peter the Great?|russia,england,denmark,italy
Which kingdom is associated with Mary, Queen of Scots?~À quel royaume associe-t-on Marie Stuart, reine des Écossais ?~Anong kaharian ang nauugnay kay Mary, Queen of Scots?|scotland,spain,portugal,sweden
Which French king is also known as Saint Louis?~Quel roi de France est aussi connu sous le nom de Saint Louis ?~Sinong hari ng Pransiya ang tinatawag ding San Louis?|louis9,louis13,louis15,louis18
Which title describes the wife of a reigning king when she is not herself the sovereign?~Quel qualificatif désigne l'épouse d'un roi régnant lorsqu'elle n'est pas elle-même souveraine ?~Anong titulo ang tumutukoy sa asawa ng naghaharing hari kung hindi siya ang mismong monarka?|consort,regnant,elector,viceroy
Which title describes a queen who rules in her own right?~Quel qualificatif désigne une reine qui détient elle-même la couronne ?~Anong titulo ang tumutukoy sa reyna na monarka sa sarili niyang karapatan?|regnant,consort,regent,viceroy
Which French king was supported by Joan of Arc and crowned at Reims in 1429?~Quel roi de France, soutenu par Jeanne d'Arc, fut sacré à Reims en 1429 ?~Sinong hari ng Pransiya ang sinuportahan ni Joan of Arc at kinoronahan sa Reims noong 1429?|charles7,louis14,henri4,francis1
Which queen ruled England during much of Shakespeare's early career?~Quelle reine gouvernait l'Angleterre pendant une grande partie des débuts de Shakespeare ?~Sinong reyna ang namuno sa Inglatera sa malaking bahagi ng unang karera ni Shakespeare?|elizabeth1,victoria,elizabeth2,anne
# Level 2: well-known events and dynasties
Who conquered England in 1066?~Qui a conquis l'Angleterre en 1066 ?~Sino ang sumakop sa Inglatera noong 1066?|william1,henry8,george1,charles2
